EC number	KEGG pathway(s)
1.4.1.23	"Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.4.1.9	"Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.3.1.168	"Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.3.3.10	"Valine, leucine and isoleucine degradation; Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.18	"Valine, leucine and isoleucine degradation"
2.6.1.22	"Valine, leucine and isoleucine degradation"
2.6.1.6	"Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites"
2.8.3.5	"Valine, leucine and isoleucine degradation"
3.1.2.17	"Valine, leucine and isoleucine degradation"
3.1.2.4	"Valine, leucine and isoleucine degradation"
4.1.3.4	"Valine, leucine and isoleucine degradation"
4.2.1.18	"Valine, leucine and isoleucine degradation"
5.1.99.1	"Valine, leucine and isoleucine degradation; Glyoxylate and dicarboxylate metabolism"
5.4.99.2	"Valine, leucine and isoleucine degradation; Glyoxylate and dicarboxylate metabolism"
6.2.1.-	"Valine, leucine and isoleucine degradation; Tyrosine metabolism"
6.2.1.16	"Valine, leucine and isoleucine degradation"
6.4.1.3	"Valine, leucine and isoleucine degradation; Glyoxylate and dicarboxylate metabolism; Biosynthesis of antibiotics"
6.4.1.4	"Valine, leucine and isoleucine degradation"
1.1.1.85	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites"
1.1.1.86	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.2.1.6	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.3.1.182	"Valine, leucine and isoleucine biosynthesis"
2.3.3.13	"Valine, leucine and isoleucine biosynthesis; Pyruvate metabolism; Biosynthesis of secondary metabolites"
2.6.1.66	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.33	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites"
4.2.1.35	"Valine, leucine and isoleucine biosynthesis"
4.2.1.9	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
5.4.99.3	"Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.87	Lysine biosynthesis; Biosynthesis of antibiotics
1.17.1.8	Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.31	Lysine biosynthesis; Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.4.1.16	Lysine biosynthesis; Biosynthesis of secondary metabolites
1.5.1.10	Lysine biosynthesis; Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.5.1.7	Lysine biosynthesis; Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.1.117	Lysine biosynthesis
2.3.1.89	Lysine biosynthesis; Biosynthesis of secondary metabolites
2.3.3.14	Lysine biosynthesis; Pyruvate metabolism; Biosynthesis of antibiotics
2.6.1.17	Lysine biosynthesis
2.6.1.39	Lysine biosynthesis; Lysine degradation; Biosynthesis of antibiotics
2.6.1.83	Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.1.18	Lysine biosynthesis
3.5.1.47	Lysine biosynthesis; Biosynthesis of secondary metabolites
4.1.1.20	Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.1.114	Lysine biosynthesis; Biosynthesis of antibiotics
4.2.1.36	Lysine biosynthesis; Biosynthesis of antibiotics
4.3.3.7	Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.1.1.7	Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.99.58	Lysine biosynthesis
6.3.2.10	Lysine biosynthesis
6.3.2.13	Lysine biosynthesis
6.3.2.43	Lysine biosynthesis
1.13.12.2	Lysine degradation
1.14.11.1	Lysine degradation
1.14.11.4	Lysine degradation
1.14.11.8	Lysine degradation
1.14.13.59	Lysine degradation
1.2.1.20	Lysine degradation
1.2.1.47	Lysine degradation
1.2.4.-	Lysine degradation
1.4.1.11	Lysine degradation
1.4.1.12	Lysine degradation; Arginine and proline metabolism; D-Arginine and D-ornithine metabolism
1.4.3.14	Lysine degradation
1.5.1.1	Lysine degradation; Arginine and proline metabolism
1.5.1.16	Lysine degradation
1.5.1.21	Lysine degradation
1.5.1.8	Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.5.1.9	Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.5.3.7	Lysine degradation
1.5.99.3	Lysine degradation
2.1.1.43	Lysine degradation
2.1.1.59	Lysine degradation
2.1.1.60	Lysine degradation
2.3.1.102	Lysine degradation
2.3.1.32	Lysine degradation
2.4.1.50	Lysine degradation
2.6.1.21	Lysine degradation; Arginine and proline metabolism; Phenylalanine metabolism; D-Arginine and D-ornithine metabolism; D-Alanine metabolism
2.6.1.48	Lysine degradation
2.6.1.65	Lysine degradation
2.7.1.81	Lysine degradation
2.8.3.9	Lysine degradation
3.4.-.-	Lysine degradation
3.5.1.17	Lysine degradation
3.5.1.30	Lysine degradation
3.5.1.63	Lysine degradation; Arginine and proline metabolism
4.1.1.18	Lysine degradation; Biosynthesis of secondary metabolites
4.1.2.-	Lysine degradation
4.2.3.134	Lysine degradation
4.3.1.14	Lysine degradation
5.1.1.5	Lysine degradation
5.1.1.9	Lysine degradation; D-Arginine and D-ornithine metabolism
5.4.3.2	Lysine degradation
5.4.3.3	Lysine degradation
5.4.3.4	Lysine degradation
6.3.2.38	Lysine degradation
6.3.2.39	Lysine degradation
1.14.11.26	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
1.14.20.1	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
1.21.3.1	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
2.1.3.7	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
2.3.1.164	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
2.3.1.175	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
2.6.1.74	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
3.1.1.41	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
3.5.1.11	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
3.5.1.93	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
3.5.2.6	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
5.1.1.17	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
6.3.2.26	Penicillin and cephalosporin biosynthesis; Biosynthesis of antibiotics
1.1.1.104	Arginine and proline metabolism
1.13.12.1	Arginine and proline metabolism
1.14.11.2	Arginine and proline metabolism
1.2.1.19	Arginine and proline metabolism
1.2.1.41	Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.54	Arginine and proline metabolism
1.2.1.71	Arginine and proline metabolism
1.21.4.1	Arginine and proline metabolism
1.4.3.-	Arginine and proline metabolism
1.4.3.10	Arginine and proline metabolism
1.4.3.22	Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism
1.5.-.-	Arginine and proline metabolism
1.5.1.11	Arginine and proline metabolism
1.5.1.19	Arginine and proline metabolism
1.5.1.2	Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.5.1.43	Arginine and proline metabolism
1.5.3.14	Arginine and proline metabolism
1.5.3.16	Arginine and proline metabolism
1.5.3.17	Arginine and proline metabolism
1.5.5.2	Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.5.99.13	Arginine and proline metabolism
1.5.99.6	Arginine and proline metabolism
2.3.1.109	Arginine and proline metabolism
2.3.1.57	Arginine and proline metabolism
2.3.1.64	Arginine and proline metabolism
2.6.1.13	Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.6.1.23	Arginine and proline metabolism
2.6.1.29	Arginine and proline metabolism
2.6.1.81	Arginine and proline metabolism
2.6.1.82	Arginine and proline metabolism
2.6.1.84	Arginine and proline metabolism
2.7.2.11	Arginine and proline metabolism; Biosynthesis of antibiotics
2.7.3.1	Arginine and proline metabolism
2.7.3.2	Arginine and proline metabolism
2.7.3.3	Arginine and proline metabolism
3.4.11.5	Arginine and proline metabolism
3.4.13.18	Arginine and proline metabolism; Histidine metabolism
3.4.13.20	Arginine and proline metabolism; Histidine metabolism
3.5.1.4	Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism
3.5.1.53	Arginine and proline metabolism
3.5.1.59	Arginine and proline metabolism
3.5.1.62	Arginine and proline metabolism
3.5.1.94	Arginine and proline metabolism
3.5.1.96	Arginine and proline metabolism
3.5.2.10	Arginine and proline metabolism
3.5.2.14	Arginine and proline metabolism
3.5.3.11	Arginine and proline metabolism
3.5.3.12	Arginine and proline metabolism
3.5.3.23	Arginine and proline metabolism
3.5.3.7	Arginine and proline metabolism
3.5.4.21	Arginine and proline metabolism
3.5.4.22	Arginine and proline metabolism
4.1.1.17	Arginine and proline metabolism; Glutathione metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.1.19	Arginine and proline metabolism
4.1.1.75	Arginine and proline metabolism
4.1.1.96	Arginine and proline metabolism
4.1.3.16	Arginine and proline metabolism; Glyoxylate and dicarboxylate metabolism
4.2.1.77	Arginine and proline metabolism
4.3.1.12	Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.1.1.4	Arginine and proline metabolism
5.1.1.8	Arginine and proline metabolism
6.3.1.11	Arginine and proline metabolism
6.3.2.11	Arginine and proline metabolism; Histidine metabolism
1.14.11.21	Clavulanic acid biosynthesis; Biosynthesis of antibiotics
2.5.1.66	Clavulanic acid biosynthesis; Biosynthesis of antibiotics
3.5.3.22	Clavulanic acid biosynthesis; Biosynthesis of antibiotics
6.3.3.4	Clavulanic acid biosynthesis; Biosynthesis of antibiotics
1.1.1.23	Histidine metabolism; Biosynthesis of secondary metabolites
1.14.13.5	Histidine metabolism
1.14.99.50	Histidine metabolism
1.14.99.51	Histidine metabolism
1.3.99.33	Histidine metabolism
2.1.1.22	Histidine metabolism
2.1.1.44	Histidine metabolism
2.1.1.8	Histidine metabolism
2.1.2.5	Histidine metabolism; One carbon pool by folate
2.4.2.17	Histidine metabolism; Biosynthesis of secondary metabolites
2.6.1.38	Histidine metabolism
2.6.1.9	"Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
3.1.3.15	Histidine metabolism; Biosynthesis of secondary metabolites
3.4.13.5	Histidine metabolism
3.5.1.118	Histidine metabolism
3.5.1.68	Histidine metabolism; Glyoxylate and dicarboxylate metabolism
3.5.1.8	Histidine metabolism; Glyoxylate and dicarboxylate metabolism
3.5.2.7	Histidine metabolism
3.5.3.13	Histidine metabolism
3.5.3.5	Histidine metabolism
3.5.3.8	Histidine metabolism
3.5.4.19	Histidine metabolism; Biosynthesis of secondary metabolites
3.6.1.31	Histidine metabolism; Biosynthesis of secondary metabolites
4.1.1.22	Histidine metabolism; Biosynthesis of secondary metabolites
4.1.1.28	Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Biosynthesis of secondary metabolites
4.2.1.19	Histidine metabolism; Biosynthesis of secondary metabolites
4.2.1.49	Histidine metabolism
4.3.1.3	Histidine metabolism
5.3.1.16	Histidine metabolism; Biosynthesis of secondary metabolites
6.3.4.8	Histidine metabolism
1.1.1.222	Tyrosine metabolism; Phenylalanine metabolism
1.1.1.312	Tyrosine metabolism
1.1.1.90	Tyrosine metabolism; Phenylalanine metabolism
1.10.3.1	Tyrosine metabolism; Biosynthesis of secondary metabolites
1.11.1.8	Tyrosine metabolism
1.13.11.15	Tyrosine metabolism
1.13.11.29	Tyrosine metabolism
1.13.11.30	Tyrosine metabolism
1.13.11.4	Tyrosine metabolism
1.13.11.5	Tyrosine metabolism
1.13.12.-	Tyrosine metabolism
1.14.12.9	Tyrosine metabolism
1.14.13.18	Tyrosine metabolism
1.14.14.9	Tyrosine metabolism
1.14.16.2	Tyrosine metabolism
1.14.17.1	Tyrosine metabolism
1.14.18.-	Tyrosine metabolism
1.14.18.1	Tyrosine metabolism; Biosynthesis of secondary metabolites
1.2.1.29	Tyrosine metabolism
1.2.1.53	Tyrosine metabolism
1.2.1.60	Tyrosine metabolism
1.2.3.13	Tyrosine metabolism
1.4.1.20	"Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.4.9.2	Tyrosine metabolism; Phenylalanine metabolism; Biosynthesis of secondary metabolites
2.1.1.27	Tyrosine metabolism
2.1.1.28	Tyrosine metabolism
2.1.1.6	Tyrosine metabolism
2.3.1.14	Tyrosine metabolism; Phenylalanine metabolism
2.3.1.140	Tyrosine metabolism
2.6.1.49	Tyrosine metabolism
2.6.1.58	"Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
3.7.1.2	Tyrosine metabolism
3.7.1.20	Tyrosine metabolism
3.7.1.5	Tyrosine metabolism
4.1.1.25	Tyrosine metabolism; Biosynthesis of secondary metabolites
4.1.1.62	Tyrosine metabolism
4.1.1.68	Tyrosine metabolism
4.1.1.80	Tyrosine metabolism; Biosynthesis of secondary metabolites
4.1.2.52	Tyrosine metabolism
4.1.99.2	Tyrosine metabolism
4.3.1.22	Tyrosine metabolism
4.3.1.23	Tyrosine metabolism
5.2.1.2	Tyrosine metabolism
5.2.1.4	Tyrosine metabolism
5.3.2.1	Tyrosine metabolism; Phenylalanine metabolism
5.3.3.-	Tyrosine metabolism
5.3.3.10	Tyrosine metabolism
5.3.3.12	Tyrosine metabolism
5.4.3.6	Tyrosine metabolism
1.1.1.157	Phenylalanine metabolism
1.11.1.21	Phenylalanine metabolism; Tryptophan metabolism; Biosynthesis of secondary metabolites
1.13.11.16	Phenylalanine metabolism
1.13.12.9	Phenylalanine metabolism
1.14.12.19	Phenylalanine metabolism
1.14.13.127	Phenylalanine metabolism
1.14.13.14	Phenylalanine metabolism; Biosynthesis of secondary metabolites
1.14.13.149	Phenylalanine metabolism
1.14.13.4	Phenylalanine metabolism
1.14.16.1	"Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
1.17.5.1	Phenylalanine metabolism
1.2.1.10	Phenylalanine metabolism; Pyruvate metabolism
1.2.1.39	Phenylalanine metabolism
1.2.1.58	Phenylalanine metabolism
1.2.1.91	Phenylalanine metabolism
1.3.1.11	Phenylalanine metabolism
1.3.1.31	Phenylalanine metabolism
1.3.1.87	Phenylalanine metabolism
1.4.99.6	Phenylalanine metabolism
1.5.1.18	Phenylalanine metabolism
2.1.1.104	Phenylalanine metabolism; Biosynthesis of secondary metabolites
2.3.1.13	Phenylalanine metabolism
2.3.1.174	Phenylalanine metabolism
2.3.1.192	Phenylalanine metabolism
2.3.1.223	Phenylalanine metabolism
2.3.1.36	Phenylalanine metabolism
2.3.1.53	Phenylalanine metabolism
2.3.1.71	Phenylalanine metabolism
3.1.2.-	Phenylalanine metabolism; Biosynthesis of unsaturated fatty acids
3.1.2.25	Phenylalanine metabolism
3.3.2.12	Phenylalanine metabolism
3.5.1.32	Phenylalanine metabolism
3.7.1.14	Phenylalanine metabolism
4.1.1.43	Phenylalanine metabolism; Tryptophan metabolism
4.1.1.53	Phenylalanine metabolism
4.1.2.41	Phenylalanine metabolism; Biosynthesis of secondary metabolites
4.1.3.39	Phenylalanine metabolism
4.2.1.101	Phenylalanine metabolism; Biosynthesis of secondary metabolites
4.2.1.80	Phenylalanine metabolism
4.3.1.24	Phenylalanine metabolism; Biosynthesis of secondary metabolites
4.3.1.25	Phenylalanine metabolism; Biosynthesis of secondary metabolites
5.1.1.11	Phenylalanine metabolism
5.3.3.18	Phenylalanine metabolism
6.2.1.30	Phenylalanine metabolism
1.1.1.110	Tryptophan metabolism
1.1.1.190	Tryptophan metabolism
1.1.1.191	Tryptophan metabolism
1.10.3.4	Tryptophan metabolism
1.11.1.6	Tryptophan metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.13.11.-	Tryptophan metabolism
1.13.11.10	Tryptophan metabolism
1.13.11.11	Tryptophan metabolism
1.13.11.17	Tryptophan metabolism
1.13.11.23	Tryptophan metabolism
1.13.11.52	Tryptophan metabolism
1.13.11.6	Tryptophan metabolism
1.13.12.3	Tryptophan metabolism
1.13.99.3	Tryptophan metabolism
1.14.13.125	Tryptophan metabolism; Biosynthesis of secondary metabolites
1.14.13.168	Tryptophan metabolism
1.14.13.9	Tryptophan metabolism
1.14.14.8	Tryptophan metabolism
1.14.16.-	Tryptophan metabolism
1.14.16.3	Tryptophan metabolism
1.14.16.4	Tryptophan metabolism
1.14.99.2	Tryptophan metabolism
1.2.1.32	Tryptophan metabolism
1.2.3.7	Tryptophan metabolism
1.3.1.-	Tryptophan metabolism
1.3.1.18	Tryptophan metabolism
1.5.1.-	Tryptophan metabolism
1.7.3.-	Tryptophan metabolism
1.7.3.2	Tryptophan metabolism
2.1.1.4	Tryptophan metabolism
2.1.1.47	Tryptophan metabolism
2.1.1.49	Tryptophan metabolism
2.3.1.87	Tryptophan metabolism
2.4.1.195	Tryptophan metabolism; Biosynthesis of secondary metabolites
2.6.1.27	Tryptophan metabolism
2.6.1.7	Tryptophan metabolism
2.6.1.99	Tryptophan metabolism
2.8.2.-	Tryptophan metabolism
3.2.1.147	Tryptophan metabolism
3.5.1.9	Tryptophan metabolism; Glyoxylate and dicarboxylate metabolism
3.5.5.1	Tryptophan metabolism; Nitrogen metabolism
3.5.99.5	Tryptophan metabolism
3.7.1.3	Tryptophan metabolism
4.1.1.45	Tryptophan metabolism
4.1.1.74	Tryptophan metabolism
4.1.99.1	Tryptophan metabolism
4.2.1.84	Tryptophan metabolism
4.4.1.-	Tryptophan metabolism
4.99.1.6	Tryptophan metabolism
1.1.1.24	"Phenylalanine, tyrosine and tryptophan biosynthesis"
1.1.1.25	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.282	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.5.8	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.3.1.12	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.3.1.13	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.3.1.43	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
1.3.1.78	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
1.3.1.79	"Phenylalanine, tyrosine and tryptophan biosynthesis"
1.4.1.24	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.2.1.10	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.2.1.11	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.3.3.-	"Phenylalanine, tyrosine and tryptophan biosynthesis"
2.4.2.18	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
2.5.1.19	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.5.1.54	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.78	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
2.6.1.79	"Phenylalanine, tyrosine and tryptophan biosynthesis"
2.7.1.71	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
3.3.2.13	"Phenylalanine, tyrosine and tryptophan biosynthesis"
4.1.1.48	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
4.1.3.27	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
4.1.3.45	"Phenylalanine, tyrosine and tryptophan biosynthesis"
4.2.1.10	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.118	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.51	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.91	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.3.4	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.3.5	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
5.3.1.24	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
5.4.99.5	"Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.4.3.7	D-Glutamine and D-glutamate metabolism
2.3.2.1	D-Glutamine and D-glutamate metabolism
3.5.1.35	D-Glutamine and D-glutamate metabolism
4.2.1.48	D-Glutamine and D-glutamate metabolism
5.1.1.3	D-Glutamine and D-glutamate metabolism
6.3.2.8	D-Glutamine and D-glutamate metabolism
6.3.2.9	D-Glutamine and D-glutamate metabolism
3.5.3.10	D-Arginine and D-ornithine metabolism
5.1.1.12	D-Arginine and D-ornithine metabolism
5.4.3.5	D-Arginine and D-ornithine metabolism
2.6.1.41	D-Alanine metabolism
5.1.1.1	D-Alanine metabolism
6.1.1.13	D-Alanine metabolism
6.3.2.16	D-Alanine metabolism
6.3.2.4	D-Alanine metabolism
1.11.1.-	Glutathione metabolism
1.11.1.12	Glutathione metabolism
1.11.1.15	Glutathione metabolism
1.11.1.9	Glutathione metabolism
1.5.4.1	Glutathione metabolism
1.8.1.12	Glutathione metabolism
1.8.1.13	Glutathione metabolism
1.8.1.7	Glutathione metabolism
1.8.3.3	Glutathione metabolism
1.8.4.2	Glutathione metabolism
1.8.4.7	Glutathione metabolism
2.3.1.80	Glutathione metabolism
2.3.2.2	Glutathione metabolism
2.3.2.4	Glutathione metabolism
2.5.1.18	Glutathione metabolism
2.8.1.3	Glutathione metabolism
3.4.11.1	Glutathione metabolism
3.4.11.2	Glutathione metabolism
3.4.11.23	Glutathione metabolism
3.4.13.-	Glutathione metabolism
3.4.19.13	Glutathione metabolism
3.5.1.78	Glutathione metabolism
3.5.2.9	Glutathione metabolism
6.3.1.8	Glutathione metabolism
6.3.1.9	Glutathione metabolism
1.1.99.13	Starch and sucrose metabolism
2.4.1.1	Starch and sucrose metabolism; Biosynthesis of secondary metabolites
2.4.1.10	Starch and sucrose metabolism
2.4.1.11	Starch and sucrose metabolism
2.4.1.12	Starch and sucrose metabolism
2.4.1.13	Starch and sucrose metabolism
2.4.1.14	Starch and sucrose metabolism
2.4.1.15	Starch and sucrose metabolism
2.4.1.18	Starch and sucrose metabolism; Biosynthesis of secondary metabolites
2.4.1.20	Starch and sucrose metabolism
2.4.1.21	Starch and sucrose metabolism; Biosynthesis of secondary metabolites
2.4.1.245	Starch and sucrose metabolism
2.4.1.25	Starch and sucrose metabolism
2.4.1.29	Starch and sucrose metabolism
2.4.1.34	Starch and sucrose metabolism
2.4.1.35	Starch and sucrose metabolism
2.4.1.4	Starch and sucrose metabolism
2.4.1.43	Starch and sucrose metabolism
2.4.1.5	Starch and sucrose metabolism
2.4.1.64	Starch and sucrose metabolism
2.4.1.7	Starch and sucrose metabolism
2.4.1.8	Starch and sucrose metabolism
2.4.2.24	Starch and sucrose metabolism
2.4.99.16	Starch and sucrose metabolism
2.7.1.10	Starch and sucrose metabolism
2.7.1.106	Starch and sucrose metabolism
2.7.1.175	Starch and sucrose metabolism
2.7.7.27	Starch and sucrose metabolism; Biosynthesis of secondary metabolites
2.7.7.33	Starch and sucrose metabolism
2.7.7.34	Starch and sucrose metabolism
3.1.3.12	Starch and sucrose metabolism
3.1.3.24	Starch and sucrose metabolism
3.1.3.90	Starch and sucrose metabolism
3.2.1.1	Starch and sucrose metabolism
3.2.1.122	Starch and sucrose metabolism
3.2.1.2	Starch and sucrose metabolism
3.2.1.21	Starch and sucrose metabolism; Biosynthesis of secondary metabolites
3.2.1.28	Starch and sucrose metabolism
3.2.1.3	Starch and sucrose metabolism
3.2.1.33	Starch and sucrose metabolism
3.2.1.37	Starch and sucrose metabolism
3.2.1.39	Starch and sucrose metabolism
3.2.1.4	Starch and sucrose metabolism
3.2.1.48	Starch and sucrose metabolism
3.2.1.54	Starch and sucrose metabolism
3.2.1.58	Starch and sucrose metabolism
3.2.1.64	Starch and sucrose metabolism
3.2.1.65	Starch and sucrose metabolism
3.2.1.74	Starch and sucrose metabolism
3.2.1.91	Starch and sucrose metabolism
3.2.1.93	Starch and sucrose metabolism
4.1.1.35	Starch and sucrose metabolism
5.1.3.6	Starch and sucrose metabolism
5.4.2.6	Starch and sucrose metabolism
5.4.99.16	Starch and sucrose metabolism
2.4.1.101	N-Glycan biosynthesis
2.4.1.117	N-Glycan biosynthesis
2.4.1.131	N-Glycan biosynthesis
2.4.1.132	N-Glycan biosynthesis
2.4.1.141	N-Glycan biosynthesis
2.4.1.142	N-Glycan biosynthesis
2.4.1.143	N-Glycan biosynthesis
2.4.1.144	N-Glycan biosynthesis
2.4.1.145	N-Glycan biosynthesis
2.4.1.155	N-Glycan biosynthesis
2.4.1.160	N-Glycan biosynthesis
2.4.1.201	N-Glycan biosynthesis
2.4.1.256	N-Glycan biosynthesis
2.4.1.257	N-Glycan biosynthesis
2.4.1.258	N-Glycan biosynthesis
2.4.1.259	N-Glycan biosynthesis
2.4.1.260	N-Glycan biosynthesis
2.4.1.261	N-Glycan biosynthesis
2.4.1.265	N-Glycan biosynthesis
2.4.1.267	N-Glycan biosynthesis
2.4.1.38	N-Glycan biosynthesis
2.4.1.68	N-Glycan biosynthesis
2.4.1.83	N-Glycan biosynthesis
2.4.99.1	N-Glycan biosynthesis
2.4.99.18	N-Glycan biosynthesis
2.7.1.108	N-Glycan biosynthesis
2.7.8.15	N-Glycan biosynthesis
3.1.3.51	N-Glycan biosynthesis
3.1.4.48	N-Glycan biosynthesis
3.2.1.106	N-Glycan biosynthesis
3.2.1.113	N-Glycan biosynthesis
3.2.1.114	N-Glycan biosynthesis
3.2.1.84	N-Glycan biosynthesis
3.6.1.43	N-Glycan biosynthesis
1.1.1.28	Pyruvate metabolism
1.1.1.283	Pyruvate metabolism
1.1.1.38	Pyruvate metabolism
